Eke,To love off eager resources,
Melce,"A wild, confusing flight or struggle",
Smug,Marked by excessive complacency or self*,
Tact,Consideration in dealing with others and avoiding giving offence,
Aberrant,Markedly different from an accepted norm,
Aberration,To deviate from what is normal or expected,There should not be any aberration in duty of a Sanyasi.
Aboreboard,Open and honest,
Absent,"Not where it is expected, missing",
Abstain,Choose not to consume or take part in,
Abstruse,"Difficult to understand, incomprehensible",
Accolade,An award or praise granted as a special honor,
Acerbic,Harsh to tone,
Acme,The highest point of achievement,
Acrimony,Ill will or bitterness,There was some acrimony between Dhruva Maharaja and his step mother
Adamant,Refusing to change once mind,
Admonish,"To warn strongly, even to the point of reprimanding",
Admonitory,Serving to warn; Expressing reproof or reproach especially as a corrective,
Advocate,"Speak, plead or argue in favour of",
Aesthete,One who professes great sensitivity to the beauty of art and nature,
Aesthetic,Concerned with the appreciation of beauty,
Affable,Likeable; Easy to talk to,
Affluent,Wealthy,
Afluent,Wealthy,
Altruism,The quality of unselfish concern for the welfare of others,
Amalgam,A mixture of multiple things,Bhakti is an amalgam of pain and love
Ambiguous,Open to more than one interpretation,
Ambivalent,Mixed or conflicting emotion about something,
Ameliorate,Make something bad better,
Amenable,Easily Persuaded,Krishna is Amenable to Radha rani
Amiable,Friendly,
Amok,In a frenzied or uncontrolled state,
Amorphous,Shapeless,
Anamaly,Something that is not normal,
Animosity,Intense hostility,
Anomalous,Not normal,
Antipathy,An intense feeling of dislike or aversion,
Antithetical,Sharply contrasted in character or purpose,
Apathetic,Marked by lack of interest,
Apathy,An absence of emotion or enthusiasm,
Apex,Highest point,
Aphoristic,Something that is concise and instructive of a general truth or principle,
Apocryphal,Being of questionable authenticity,
Appease,Pacify by acceding to the demand of,
Appreciable,Large enough to be noticed,
Apprehension,Fearful expectation,
Arbitrary,"Based on a random, groundless decision",
Arcane,Requiring secret or mysterious knowledge,
Archaic,So old as to appear to belong to a different period,
Arduous,Demanding considerable mental effort and skill,
Artful,Exhibiting artistic skill,
Ascendancy,The state that exists when one person or group has power over another,
Ascetic,Practicing self-denial,
Askance,With a look of suspicion or disapproval,
Assail,Attack in speech or writing,
Assuage,Make something intense less severe,
Audacious,Willing to be bold in Social situation or to take risk.,
Audacity,Aggressively bold in social situation,
Augment,Enlarge or increase; Improve,
Auspicious,Favourable,Krishna made the time auspicious by taking birth
Austere,Practicing self-denial,
Autonomously,Acting independently,
Avarice,Greed,
Avaricious,Excessively greedy,
Avid,Marked by active interest and enthusiasm,
Badger,To pester,
Banal,Repeated too often,
Banality,A trite or obvious remark,
Banish,Expel from a community,
Beatific,Blissfully happy,
Becoming,Appropriate and matches nicely,
Belie,To give a false representation to,
Bellicose,Warlike; Inclined to quarrel,
Belligerent,Characteristic of one eager to fight,
Benign,Kind; Not dangerous to health,
Berate,Scold,Hiranyakasapu berate Pralahad Maharaja for chanting the name of Hari.
Blatant,Completely obvious,
Bleak,Having a depressing or gloomy outlook,
Bolster,Support and strengthen,
Boon,A desirable state,
Brazen,Unrestrained by convention or propriety,
Brusquely,"In a blunt, direct manner",
Buck,Resist,
Bucolic,Relating to the pleasant aspects of the country,
Bumbling,"Lacking physical movement skills, especially with the hands",
Burgeon,Grow and flourish,
Cadaverous,Emaciated; Gaunt,
Calumny,Making a false statement to injure a person’s reputation,Atheists makes a lot of calumny about Lord Rama.
Candid,Straight forward and honest,
Candidness,The quality of being honest and straight forward in attitude and speech,
Capricious,Determined by chance or impulse or whim rather than by necessity or reason,
Cardinal,Of primary importance; Fundamental,
Castigate,Reprimand Harshly,Yashodha Maiye castigate Krishna for his mischievous activity.
Catalyst,Something that speeds up an event,
Censor,To examine and remove objectionable material,
Chastise,Reprimand Harshly,Krishna chastise Arjuna for not fighting the war.
Chauvinist,A person who believes in the superiority of their group,
Check,To limit,
Checkered,Marked by disreputable or unfortunate happenings,
Chortle,To chuckle,
Circumscribe,Restrict or confine,
Circumvent,Cleverly find a way out of one’s duties or obligations,
Clumsy,Awkward and without skill,
Cogent,Clear and Persuasive,
Collusion,Agreement on a secret plot,
Commendable,Worthy of high praise,
Commensurate,To be in proportion,Putna’s last min pain were commensurate to her action.
Complacent,Contented to a fault with oneself or one’s actions,
Concede,Acknowledge defeat,
Conducive,Making a situation or outcome more likely to happen,
Confound,To cause confusion,
Connive,Taking part in immoral and unethical plots,
Conspicuous,Completely obvious,
Constituent,A citizen who is represented in a government by officials for whom he/she votes; An abstract part of something,
Construe,Interpreted in a particular way,
Consummate,Having or revealing supreme mastery or skill,
Contemptuous,"Scornful, looking down at others with a sneering attitude",
Contingent,A gathering of persons representative of same larger group,
Contrite,To be remorseful,
Contrive,"Pull off a plan or scheme, usually through skill or trickery",
Copious,In abundant supply,
Cornucopia,An abundant supply of something good,
